"","Model","LL","AUC","ACC","TPR","TNR","PRE"
"1","Logistic Regression",0.6290002,0.755102040816326,0.742857142857143,0.928571428571429,0,0.787878787878788
"2","Logistic Regression with Ridge Penalty",0.4724348,0.76530612244898,0.771428571428571,0.964285714285714,0,0.794117647058823
"3","Logistic Regression with Lasso Penalty",0.5429366,0.739795918367347,0.742857142857143,0.928571428571429,0,0.787878787878788
